OBJECTID,businessUnit_name,businessUnit_number,Description,Type,businessUnit_isStoreOpen,Address,City,County,State,Postal Code,businessUnit_status_code,Operation Status,Modified Operating Hours,Pharmacy open to public,Fuel Station open to public,Business Unit #,Grocery delivery service offered,Grocery delivery status,Online grocery pickup service offered,Online grocery pickup status,x,y,latitude,longitude
29040,"ROGERS, AR",1,WM Supercenter,Retail,True,2110 W WALNUT ST,ROGERS,BENTON,AR,72756-3246,5,Open,,Y,Y,1,Yes,,Yes,Not Available,-10480624.75,4346304.021,36.331237,-94.1490913
29041,"TUNKHANNOCK, PA",2024,WM Supercenter,Retail,True,808 HUNTER HWY,TUNKHANNOCK,WYOMING,PA,18657-8071,5,Open,,Y,Y,2024,No,Available,No,Available,-8454430.459,5089938.676,41.524056,-75.9474955
29042,TAHLEQUAH OK,10,WM Supercenter,Retail,True,2020 S MUSKOGEE AVE,TAHLEQUAH,CHEROKEE,OK,74464-5439,5,Open,,Y,Y,10,No,,No,Available,-10573104.53,4285332.153,35.8907411,-94.977284
29043,"TRACY, CA",2025,WM Supercenter,Retail,True,3010 W GRANT LINE RD,TRACY,SAN JOAQUIN,CA,95304-9402,5,Open,,Y,Y,2025,No,Not Available,No,Not Available,-13522169.46,4544402.716,37.7515535,-121.4720419
29044,"BENTONVILLE, AR",100,WM Supercenter,Retail,True,406 S WALTON BLVD,BENTONVILLE,BENTON,AR,72712-5705,5,Open,,Y,Y,100,No,Not Available,No,Not Available,-10489061.65,4351400.386,36.3682292,-94.2249416
29045,PONCE-PR,2026,WM Supercenter,Retail,True,3305 AVE.BARAMAYA SUITE 100,PONCE,PONCE,PR,00728-0000,5,Open,,Y,Y,2026,,,Yes,,-7418617.848,2037239.54,26.6495,-98.34557
29046,BROWNSVILLE TX,1000,WM Supercenter,Retail,True,2721 BOCA CHICA BLVD,BROWNSVILLE,CAMERON,TX,78521-3501,5,Open,,Y,Y,1000,Yes,,Yes,Available,-10851090.34,2989812.41,25.9249283,-97.4770684
29047,"LAVALE, MD",2027,WM Supercenter,Retail,True,12500 COUNTRY CLUB MALL RD,LAVALE,ALLEGANY,MD,21502-7553,5,Open,,Y,Y,2027,Yes,Available,Yes,Available,-8775877.845,4811582.988,39.6251694,-78.8341661
29048,"PUEBLO, CO",1001,WM Supercenter,Retail,True,4080 W NORTHERN AVE,PUEBLO,PUEBLO,CO,81005-3503,5,Open,,Y,Y,1001,Yes,Available,Yes,Available,-11651243.15,4612296.455,38.2322834,-104.6650483
29049,"RIVERSIDE (S), CA",2028,WM Supercenter,Retail,True,5200 VAN BUREN BLVD,RIVERSIDE,RIVERSIDE,CA,92503-2544,5,Open,,Y,Y,2028,No,,Yes,,-13075068.53,4020355.326,33.9367789,-117.454972
29050,LINTON IN,1002,WM Supercenter,Retail,True,2251 E STATE HIGHWAY 54,LINTON,GREENE,IN,47441-9498,5,Open,,Y,Y,1002,Yes,,Yes,,-9699346.047,4726811.949,39.038263,-87.125596
29052,PLANO IL,1003,WM Supercenter,Retail,True,6800 W US HIGHWAY 34,PLANO,KENDALL,IL,60545-9603,5,Open,,Y,Y,1003,No,,No,Available,-9858835.151,5109129.801,41.656683,-88.557484
29053,BROOKFIELD MO,203,WM Supercenter,Retail,True,937 PARK CIRCLE DR,BROOKFIELD,LINN,MO,64628-7920,5,Open,,Y,Y,203,No,,Yes,,-10360810.36,4832269.504,39.7677932,-93.0727658
29054,BRADENTON FL,1004,WM Supercenter,Retail,True,5315 CORTEZ RD W,BRADENTON,MANATEE,FL,34210-2814,5,Open,,Y,Y,1004,No,Available,No,Available,-9196695.243,3181088.636,27.4602721,-82.6153435
29055,"SONORA, CA",2030,WM Supercenter,Retail,True,1101 SANGUINETTI ROAD,SONORA,TUOLUMNE,CA,95370-6214,5,Open,,Y,Y,2030,No,,No,Available,-13399065.91,4575427.472,37.9738591,-120.3587943
29056,WAVERLY IA,1005,WM Supercenter,Retail,True,2700 4TH ST SW,WAVERLY,BREMER,IA,50677-4351,5,Open,,Y,Y,1005,Yes,Available,Yes,Available,-10294786.88,5266666.752,42.7016995,-92.4796301
29057,"UNION CITY, CA",2031,Wal-Mart,Retail,True,30600 DYER ST,UNION CITY,ALAMEDA,CA,94587-1717,2,Open,,Y,Y,2031,Yes,,Yes,,-13588470.57,4523734.814,37.605537,-122.068506
29058,CORDELE GA,1006,WM Supercenter,Retail,True,1215 E 16TH AVE,CORDELE,CRISP,GA,31015-1543,5,Open,,Y,Y,1006,No,,Yes,,-9324331.054,3758679.42,31.964712,-83.761891
29059,"OXNARD, CA",2032,WM Supercenter,Retail,True,2001 N ROSE AVE,OXNARD,VENTURA,CA,93036-2681,5,Open,,Y,Y,2032,No,,No,,-13265002.4,4058397.468,34.2200752,-119.1615129
29060,RICHLAND CENTER WI,1007,WM Supercenter,Retail,True,2401 US HWY 14 E,RICHLAND CENTER,RICHLAND,WI,53581-2996,5,Open,,Y,Y,1007,No,,No,,-10057602.22,5359676.126,43.318162,-90.361735
29061,MANDAN BISMARCK ND,2033,WM Supercenter,Retail,True,1000 OLD RED TRL NW,MANDAN,MORTON,ND,58554-1591,2,Open,,Y,Y,2033,No,,No,Available,-11232510.32,5917080.086,46.846821,-100.906676
29062,"LOVELAND (N), CO",1008,WM Supercenter,Retail,True,250 W 65TH ST,LOVELAND,LARIMER,CO,80538-4668,5,Open,,Y,Y,1008,Yes,Available,Yes,Available,-11697558.18,4932559.975,40.4569674,-105.0810084
29063,REPUBLIC MO,1009,WM Supercenter,Retail,True,1150 US HIGHWAY 60 E,REPUBLIC,GREENE,MO,65738-1580,5,Open,,Y,Y,1009,No,Available,Yes,Available,-10403754.19,4456961.431,37.12647,-93.463188
29064,ROLLA MO,101,WM Supercenter,Retail,True,500 S BISHOP AVE,ROLLA,PHELPS,MO,65401-4313,5,Open,,Y,Y,101,Yes,Available,Yes,Available,-10216806.91,4570615.379,37.9376721,-91.7792171
29065,ROCKINGHAM NC,1010,WM Supercenter,Retail,True,720 E US HIGHWAY 74,ROCKINGHAM,RICHMOND,NC,28379-7206,5,Open,,Y,Y,1010,No,Available,Yes,Available,-8876490.516,4152083.066,34.910886,-79.72305
29067,RINCON GA,1011,WM Supercenter,Retail,True,434 S COLUMBIA AVE,RINCON,EFFINGHAM,GA,31326-9079,5,Open,,Y,Y,1011,Yes,Available,Yes,Available,-9042023.49,3799449.337,32.2745724,-81.2258701
29068,BEAVER DAM WI,1012,WM Supercenter,Retail,True,120 FRANCES LN,BEAVER DAM,DODGE,WI,53916-1165,5,Open,,Y,Y,1012,No,,Yes,Available,-9886530.105,5386742.127,43.4892819,-88.8113953
29069,CLINTON IN,1013,Wal-Mart,Retail,True,1795 E STATE ROAD 163,CLINTON,VERMILLION,IN,47842-7327,5,Open,,Y,Y,1013,No,,Yes,,-9732780.3,4816102.773,39.657423,-87.431174
29070,INDEPENDENCE MO,1014,WM Supercenter,Retail,True,4000 S BOLGER RD,INDEPENDENCE,JACKSON,MO,64055-6776,5,Open,,Y,Y,1014,No,Available,No,Available,-10504886.94,4728281.598,39.048325,-94.368712
29071,"EL PASO, TX",1015,WM Supercenter,Retail,True,7555 N MESA ST,EL PASO,EL PASO,TX,79912-3505,5,Open,,Y,Y,1015,No,Available,No,Available,-11862862.73,3741821.671,31.8360447,-106.5657121
29072,THIBODAUX LA,1016,WM Supercenter,Retail,True,410 N CANAL BLVD,THIBODAUX,LAFOURCHE,LA,70301-2956,5,Open,,Y,Y,1016,No,Not Available,No,Not Available,-10109848.47,3479089.736,29.8094383,-90.8183167
29073,MANNING SC,1017,WM Supercenter,Retail,True,2010 PAXVILLE HWY,MANNING,CLARENDON,SC,29102-6434,5,Open,,Y,Y,1017,No,,Yes,Available,-8930738.953,3988630.414,33.7002581,-80.2262435
29074,EASTMAN GA,1018,WM Supercenter,Retail,True,1099 INDIAN DR,EASTMAN,DODGE,GA,31023-7663,5,Open,,Y,Y,1018,No,Not Available,No,Not Available,-9259299.989,3786824.375,32.178983,-83.177718
29075,CANON CITY CO,1019,WM Supercenter,Retail,True,3105 E US HIGHWAY 50,CANON CITY,FREMONT,CO,81212-2797,5,Open,,Y,Y,1019,Yes,,Yes,Available,-11709858.87,4643002.034,38.447098,-105.193135
29076,STUTTGART AR,102,WM Supercenter,Retail,True,406 E 22ND ST,STUTTGART,ARKANSAS,AR,72160-9006,5,Open,,Y,Y,102,Yes,,Yes,,-10191193.96,4093040.558,34.4770477,-91.5490773
29077,ALBERT LEA MN,1020,WM Supercenter,Retail,True,1550 BLAKE AVE,ALBERT LEA,FREEBORN,MN,56007-6304,5,Open,,Y,Y,1020,No,,Yes,Available,-10388950.37,5413599.024,43.6642221,-93.3262033
29078,WARRENTON MO,1021,WM Supercenter,Retail,True,500 WARREN COUNTY CTR,WARRENTON,WARREN,MO,63383-3023,5,Open,,Y,Y,1021,No,,Yes,Available,-10145954.61,4696398.185,38.805924,-91.136341
29079,TYLER (W) TX,1022,WM Supercenter,Retail,True,3820 STATE HIGHWAY 64 W,TYLER,SMITH,TX,75704-6924,5,Open,,Y,Y,1022,No,Not Available,Yes,Not Available,-10613811.06,3809498.702,32.3511417,-95.345791
29080,GALAX VA,1023,WM Supercenter,Retail,True,1140 E STUART DR,GALAX,GALAX CITY,VA,24333-2630,5,Open,,Y,Y,1023,No,Not Available,No,Not Available,-9003641.197,4396349.673,36.6928749,-80.8813629
29081,SWAINSBORO GA,1024,WM Supercenter,Retail,True,414 S MAIN ST,SWAINSBORO,EMANUEL,GA,30401-3676,5,Open,,Y,Y,1024,Yes,Available,Yes,Available,-9164991.341,3840763.964,32.588146,-82.330518
29082,MCCOMB MS,1025,WM Supercenter,Retail,True,1608 VETERANS BLVD,MCCOMB,PIKE,MS,39648-2031,5,Open,,Y,Y,1025,No,Not Available,Yes,Not Available,-10071446.81,3667012.436,31.260574,-90.471909
29083,BEDFORD IN,1026,WM Supercenter,Retail,True,3200 JOHN WILLIAMS BLVD,BEDFORD,LAWRENCE,IN,47421-9153,5,Open,,Y,Y,1026,No,,Yes,Not Available,-9630812.982,4702408.718,38.868293,-86.507213
29084,CONCORD NC,1027,WM Supercenter,Retail,True,150 CONCORD COMMONS PL SW,CONCORD,CABARRUS,NC,28027-5026,5,Open,,Y,Y,1027,No,,Yes,Available,-8974891.491,4216860.366,35.365617,-80.635648
29085,"EAST PEORIA, IL",1028,WM Supercenter,Retail,True,401 RIVER RD,EAST PEORIA,TAZEWELL,IL,61611-2063,5,Open,,Y,Y,1028,Yes,Available,Yes,Available,-9972552.353,4965807.205,40.6843712,-89.5842858
29086,HOMOSASSA FL,1029,WM Supercenter,Retail,True,6885 S SUNCOAST BLVD,HOMOSASSA,CITRUS,FL,34446-3404,2,Open,,Y,Y,1029,No,,No,Available,-9189423.074,3345498.419,28.761378,-82.553108
29087,SHAWNEE OK,103,WM Supercenter,Retail,True,196 SHAWNEE MALL DR,SHAWNEE,POTTAWATOMIE,OK,74804-1337,5,Open,,Y,Y,103,No,,Yes,Available,-10789279.08,4216564.743,35.386877,-96.921788
29088,LANCASTER SC,1030,WM Supercenter,Retail,True,805 HWY 9 BYPASS WES,LANCASTER,LANCASTER,SC,29720-4773,5,Open,,Y,Y,1030,Yes,Not Available,Yes,Not Available,-8992918.124,4127825.305,34.721893,-80.757679
29090,PANAMA CITY FL,1032,WM Supercenter,Retail,True,2101 S HIGHWAY 77,LYNN HAVEN,BAY,FL,32444-4631,5,Open,,Y,Y,1032,Yes,Available,Yes,Available,-9534099.499,3532670.087,30.229387,-85.649101
29091,SEYMOUR IN,1033,WM Supercenter,Retail,True,1600 E TIPTON ST,SEYMOUR,JACKSON,IN,47274-3560,5,Open,,Y,Y,1033,No,,Yes,Available,-9558364.81,4715432.035,38.9554804,-85.8644646
29092,SHELBY NC,1034,WM Supercenter,Retail,True,705 E DIXON BLVD,SHELBY,CLEVELAND,NC,28152-6821,5,Open,,Y,Y,1034,No,Not Available,Yes,Not Available,-9075874.634,4201637.297,35.27492,-81.5311679
29093,SPARTANBURG SC,1035,WM Supercenter,Retail,True,141 DORMAN CENTRE DR,SPARTANBURG,SPARTANBURG,SC,29301-2625,5,Open,,Y,Y,1035,No,Not Available,No,Available,-9126521.885,4154819.349,34.9337388,-81.9853958
29094,"FOREST CITY, NC",1036,WM Supercenter,Retail,True,197 PLAZA DR,FOREST CITY,RUTHERFORD,NC,28043-3712,5,Open,,Y,Y,1036,Yes,,Yes,Available,-9117011.304,4209503.014,35.3356102,-81.8995793
29095,SUMMERVILLE SC,1037,WM Supercenter,Retail,True,1317 N MAIN ST STE A1,SUMMERVILLE,BERKELEY,SC,29483-7342,5,Open,,Y,Y,1037,Yes,Available,Yes,Available,-8922633.892,3899940.193,33.0350004,-80.1541662
29096,WASECA MN,1038,WM Supercenter,Retail,True,2103 STATE ST N,WASECA,WASECA,MN,56093-2605,5,Open,,Y,Y,1038,Yes,Available,Yes,Available,-10409478.57,5480539.386,44.096599,-93.507192
29097,MOUNT AIRY NC,1039,WM Supercenter,Retail,True,2241 ROCKFORD ST,MOUNT AIRY,SURRY,NC,27030-5262,5,Open,,Y,Y,1039,No,,No,Available,-8974406.695,4365750.987,36.4719707,-80.6184432
29098,MILAN TN,104,WM Supercenter,Retail,True,15427 S FIRST ST,MILAN,GIBSON,TN,38358-6475,5,Open,,Y,Y,104,No,,Yes,Not Available,-9879372.373,4283595.768,35.874394,-88.744582
29099,HOUSTON (SPENCER) TX,1040,WM Supercenter,Retail,True,15955 FM 529 RD,HOUSTON,HARRIS,TX,77095-2513,5,Open,,Y,Y,1040,No,Available,No,Available,-10647899.54,3487746.936,29.8802775,-95.572288
29100,WESLACO TX,1041,WM Supercenter,Retail,True,1310 N TEXAS BLVD,WESLACO,HIDALGO,TX,78599-0000,5,Open,,Y,Y,1041,No,,Yes,Available,-10907947.88,3020739.262,26.17334,-97.990903
29101,BASTROP TX,1042,WM Supercenter,Retail,True,488 HIGHWAY 71 W,BASTROP,BASTROP,TX,78602-3731,5,Open,,Y,Y,1042,Yes,Available,Yes,Available,-10835004.23,3516846.728,30.108056,-97.337924
29102,PAULS VALLEY OK,1043,WM Supercenter,Retail,True,2008 W GRANT AVE,PAULS VALLEY,GARVIN,OK,73075-9230,5,Open,,Y,Y,1043,No,,No,,-10825685.23,4128151.085,34.736602,-97.248862
29103,TYLER TX,1044,WM Supercenter,Retail,True,5050 TROUP HWY,TYLER,SMITH,TX,75707-1916,5,Open,,Y,Y,1044,No,Available,Yes,Available,-10604311.95,3802497.301,32.2980511,-95.2601127
29104,LAFAYETTE CO,1045,WM Supercenter,Retail,True,745 US HIGHWAY 287,LAFAYETTE,BOULDER,CO,80026-8955,5,Open,,Y,Y,1045,Yes,,Yes,Available,-11700250.22,4866813.059,39.975808,-105.090598
29105,CARRIZO SPRINGS TX,1046,Wal-Mart,Retail,True,2214 N 1ST ST,CARRIZO SPRINGS,DIMMIT,TX,78834-2036,2,Open,,Y,Y,1046,No,,Yes,,-11115089.85,3317580.649,28.542786,-99.848551
29106,MORROW GA,1047,WM Supercenter,Retail,True,6065 JONESBORO RD,MORROW,CLAYTON,GA,30260-1106,5,Open,,Y,Y,1047,Yes,Available,Yes,Available,-9388720.029,3973841.055,33.5895022,-84.3403223
29107,WILLIAMSBURG KY,1048,WM Supercenter,Retail,True,589 W HIGHWAY 92,WILLIAMSBURG,WHITLEY,KY,40769-1684,5,Open,,Y,Y,1048,No,,No,,-9369956.683,4400239.784,36.664608,-84.325687
29109,CORINTH MS,105,WM Supercenter,Retail,True,2301 S HARPER RD,CORINTH,ALCORN,MS,38834-6771,5,Open,,Y,Y,105,Yes,Available,Yes,Available,-9851997.24,4151671.066,34.9101723,-88.5021948
29111,LEVELLAND TX,1051,WM Supercenter,Retail,True,407 E STATE ROAD 114,LEVELLAND,HOCKLEY,TX,79336-2629,5,Open,,Y,Y,1051,No,,Yes,Available,-11394808.68,3974720.531,33.593997,-102.359176
29112,FAYETTE AL,1052,WM Supercenter,Retail,True,3186 HIGHWAY 171 N,FAYETTE,FAYETTE,AL,35555-6172,5,Open,,Y,Y,1052,No,,Yes,,-9774813.426,3992829.992,33.645535,-87.83784
29113,LA GRANGE KY,1053,WM Supercenter,Retail,True,1015 NEW MOODY LN,LA GRANGE,OLDHAM,KY,40031-9142,5,Open,,Y,Y,1053,Yes,,Yes,Available,-9503623.45,4635330.031,38.378771,-85.393578
29114,ATCHISON KS,1054,WM Supercenter,Retail,True,1920 HIGHWAY 73,ATCHISON,ATCHISON,KS,66002-5102,5,Open,,Y,Y,1054,No,,No,Available,-10589737.22,4799388.631,39.556287,-95.1463103
29115,GARLAND TX,1055,WM Supercenter,Retail,True,5302 N GARLAND AVE,GARLAND,DALLAS,TX,75040-2715,5,Open,,Y,Y,1055,Yes,Available,Yes,Available,-10758200.9,3890312.398,32.9613224,-96.6471179
29116,NEWCASTLE OK,1056,WM Supercenter,Retail,True,3300 TRI CITY DR,NEWCASTLE,MCCLAIN,OK,73065-6599,5,Open,,Y,Y,1056,Yes,Available,Yes,Available,-10865502.2,4203891.282,35.215704,-97.551389
29118,TALLASSEE AL EF,1057,WM Supercenter,Retail,True,2190 GILMER AVENUE,TALLASSEE,ELMORE,AL,36078-7123,5,Open,,Y,Y,1057,No,,No,,-9565832.233,3837827.79,32.564562,-85.9316405
29121,MONTROSE CO,1058,WM Supercenter,Retail,True,16750 S TOWNSEND AVE,MONTROSE,MONTROSE,CO,81401-5410,5,Open,,Y,Y,1058,No,,Yes,Available,-12007298.65,4643059.743,38.4490103,-107.8634807
29122,FOREST MS,1059,WM Supercenter,Retail,True,1309 HIGHWAY 35 S,FOREST,SCOTT,MS,39074-5010,5,Open,,Y,Y,1059,No,,Yes,Available,-9961555.211,3807844.674,32.344342,-89.482735
29127,FULTON KY,106,WM Supercenter,Retail,True,1405 MIDDLE RD,FULTON,FULTON,KY,42041-7905,5,Open,,Y,Y,106,No,,Yes,,-9896299.615,4372008.256,36.5174016,-88.9001061
29128,MORGANTON NC,1060,WM Supercenter,Retail,True,G120 MORGANTON HEIGHTS BLVD,MORGANTON,BURKE,NC,28655-5210,5,Open,,Y,Y,1060,No,Available,No,Available,-9095373.356,4263142.702,35.7269945,-81.7046233
29129,HAZELHURST GA,1061,WM Supercenter,Retail,True,136 E JARMAN ST,HAZLEHURST,JEFF DAVIS,GA,31539-6130,5,Open,,Y,Y,1061,No,,No,,-9193496.7,3745200.539,31.8619167,-82.5866459
29134,WEBSTER TX,1062,WM Supercenter,Retail,True,150 W EL DORADO BLVD,FRIENDSWOOD,HARRIS,TX,77546-6500,5,Open,,Y,Y,1062,No,Available,Yes,Available,-10593075.14,3446075.098,29.5528651,-95.1595002
29135,GENEVA AL,1063,Wal-Mart,Retail,True,1608 W MAGNOLIA AVE,GENEVA,GENEVA,AL,36340-1237,2,Open,,Y,Y,1063,No,,No,,-9562275.352,3639434.788,31.051472,-85.899404
29136,LENOIR NC,1064,WM Supercenter,Retail,True,935 BLOWING ROCK BLVD,LENOIR,CALDWELL,NC,28645-3785,5,Open,,Y,Y,1064,Yes,Available,Yes,Available,-9075889.328,4290790.424,35.9285279,-81.5297359
29141,HOPE AR,1065,WM Supercenter,Retail,True,2400 N HERVEY ST,HOPE,HEMPSTEAD,AR,71801-8418,5,Open,,Y,Y,1065,No,,Yes,Available,-10421135.39,3986029.667,33.6807323,-93.6147328
29151,PASCAGOULA MS,1066,WM Supercenter,Retail,True,4253 DENNY AVE,PASCAGOULA,JACKSON,MS,39581-5502,5,Open,,Y,Y,1066,Yes,Available,Yes,Available,-9853853.604,3553344.837,30.3863427,-88.5189643
29160,HALLETSVILLE TX,1067,Wal-Mart,Retail,True,1506 N TEXANA ST,HALLETTSVILLE,LAVACA,TX,77964-2036,2,Open,,Y,Y,1067,No,,No,,-10791089.13,3434139.77,29.4584727,-96.938012
29161,SEBASTIAN FL,1068,WM Supercenter,Retail,True,2001 US HIGHWAY 1,SEBASTIAN,INDIAN RIVER,FL,32958-1615,5,Open,,Y,Y,1068,No,Available,Yes,Available,-8959197.336,3227475.212,27.815169,-80.4686962
29162,NEWTON MS,1069,WM Supercenter,Retail,True,231 EASTSIDE DR,NEWTON,NEWTON,MS,39345-8035,5,Open,,Y,Y,1069,No,,Yes,,-9923207.428,3807876.426,32.32126,-89.16339
29163,MARTIN TN,107,WM Supercenter,Retail,True,134 COURTRIGHT RD,MARTIN,WEAKLEY,TN,38237-1606,5,Open,,Y,Y,107,No,Not Available,No,Available,-9894487.445,4349585.359,36.354884,-88.8822498
29164,ELLIJAY GA,1070,WM Supercenter,Retail,True,88 HIGHLAND XING,EAST ELLIJAY,GILMER,GA,30540-6052,5,Open,,Y,Y,1070,No,,Yes,Available,-9405184.961,4117285.032,34.6561952,-84.4883172
29165,WOOD RIVER IL,1071,WM Supercenter,Retail,True,610 WESLEY DR,WOOD RIVER,MADISON,IL,62095-1894,5,Open,,Y,Y,1071,No,Available,Yes,Available,-10026575.26,4703140.035,38.8706436,-90.07101
29166,TIFTON GA,1072,WM Supercenter,Retail,True,1830 US HIGHWAY 82 W,TIFTON,TIFT,GA,31793-8164,5,Open,,Y,Y,1072,No,,Yes,Available,-9299892.752,3690380.137,31.444492,-83.546812
29167,LAMPASSAS TX,1073,WM Supercenter,Retail,True,1710 CENTRAL TEXAS EXPY,LAMPASAS,LAMPASAS,TX,76550-3421,5,Open,,Y,Y,1073,Yes,Available,Yes,Available,-10926999.66,3640770.896,31.0617143,-98.1588654
29168,GRENADA MS,1074,WM Supercenter,Retail,True,1655 SUNSET DR,GRENADA,GRENADA,MS,38901-4061,5,Open,,Y,Y,1074,No,Available,Yes,Available,-10000706.5,3999507.78,33.7816615,-89.8373494
29169,CLARKSVILLE TN,1075,WM Supercenter,Retail,True,1680 FORT CAMPBELL BLVD,CLARKSVILLE,MONTGOMERY,TN,37042-3537,5,Open,,Y,Y,1075,No,Available,Yes,Available,-9730764.526,4380763.041,36.5809354,-87.4133756
29170,MACON GA,1076,WM Supercenter,Retail,True,1401 GRAY HWY,MACON,BIBB,GA,31211-1905,5,Open,,Y,Y,1076,No,Available,No,Available,-9307509.232,3877145.651,32.8634711,-83.6113679
29171,"TALLAHASSEE, FL",1077,WM Supercenter,Retail,True,3535 APALACHEE PKWY,TALLAHASSEE,LEON,FL,32311-5330,5,Open,,Y,Y,1077,Yes,Available,Yes,Available,-9374693.884,3558359.544,30.4250244,-84.2143106
29172,BALLINGER TX,1078,Wal-Mart,Retail,True,2005 HUTCHINS AVE,BALLINGER,RUNNELS,TX,76821-4427,2,Open,,Y,Y,1078,No,,No,,-11127582.35,3726670.24,31.722274,-99.961542
29173,NEW SMYRNA BEACH FL,1079,WM Supercenter,Retail,True,3155 STATE RD 44,NEW SMYRNA BEACH,VOLUSIA,FL,32168-8880,5,Open,,Y,Y,1079,No,Not Available,Yes,Not Available,-9016173.545,3377641.517,29.0148667,-80.9938985
29174,GUTHRIE OK,108,WM Supercenter,Retail,True,1608 S DIVISION ST,GUTHRIE,LOGAN,OK,73044-5015,5,Open,,Y,Y,108,Yes,Available,Yes,Available,-10845044.58,4281769.963,35.8627228,-97.422758
